seed,plan_cost,naive_plan_cost,exec_us,rows,lineage,query
76,6261,16988,208,17,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT t0.id AS c3431
FROM users AS t0 LEFT JOIN employees AS t1 ON t0.id = t1.id
WHERE ((t1.id != 67 AND t0.id IS NOT NULL) OR (t0.age NOT BETWEEN 33 AND 123 OR t0.age >= 22));"
77,60475000,315425000,1366,0,transformation 0 JoinCommutativity: 1; transformation 2 FilterSplit: 1; transformation 5 FilterPushdownThroughJoin: 2; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT t1.region_id AS c1177, t0.id AS c3278, COUNT(*), COUNT(t0.id) AS c3474
FROM orders AS t0 CROSS JOIN customers AS t1
WHERE (t0.id = 64 AND t0.customer_id > 397)
GROUP BY t1.region_id, t0.id;"
78,61000,61000,263,500,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT t0.id, t0.region_id
FROM customers AS t0;"
79,2310,2310,601,2,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT t0.id AS c7963, t0.age AS c5437
FROM users AS t0
WHERE t0.age IN (5, 11, 63);"
80,3730,6250,275,30,transformation 0 JoinCommutativity: 1; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1,"SELECT regions.id AS c2137
FROM regions CROSS JOIN markets
WHERE markets.note != 'AMERICA';"
81,3837,9622,233,3,transformation 0 JoinCommutativity: 3; transformation 1 JoinAssociativity: 3; transformation 5 FilterPushdownThroughJoin: 4; transformation 11 OuterJoinToInner: 2; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT markets.region AS c3832, users.age, departments.id
FROM users LEFT JOIN departments ON users.id = departments.id RIGHT JOIN markets ON users.id = markets.id
WHERE departments.id <= 5;"
82,1833,1833,147,0,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; enforcer 0 SortEnforcer: 1,"SELECT users.age AS c4898, users.id AS c4014
FROM users
WHERE ((users.id = 4 OR users.id BETWEEN 11 AND 16) AND (users.age = 22 AND users.id <= 57))
ORDER BY users.age DESC;"
83,3478,5692,185,6,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 2; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT t0.age AS c499, t1.price AS c7644, t0.id
FROM users AS t0 LEFT JOIN books AS t1 ON t0.id = t1.id
WHERE t0.id < 7;"
84,3124,4574,510,3,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; enforcer 0 SortEnforcer: 4,"SELECT books.price, regions.id, markets.id AS c8988
FROM markets LEFT JOIN regions ON markets.id = regions.id LEFT JOIN books ON regions.id = books.id
WHERE ((books.price BETWEEN 6 AND 77 OR markets.id NOT IN (1, 2, 2, 3)) OR books.price NOT IN (55));"
85,175500,175500,331,500,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT t0.id, t0.region_id
FROM customers AS t0
GROUP BY t0.id, t0.region_id;"
86,610000,610000,1135,5000,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT orders.customer_id, orders.id
FROM orders;"
87,3256,3256,218,11,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT employees.department_id, employees.id AS c6314
FROM employees
GROUP BY employees.department_id, employees.id;"
88,3612,6540,207,5,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 3,"SELECT departments.id AS c2839, COUNT(*)
FROM employees RIGHT JOIN departments ON employees.id = departments.id
GROUP BY departments.id
ORDER BY departments.id DESC;"
89,822,822,176,3,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT t0.region AS c5477, t0.id AS c2794, COUNT(*) AS c9570
FROM markets AS t0
GROUP BY t0.region, t0.id;"
90,135000,135000,585,500,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT customers.region_id, customers.id AS c6247, COUNT(*) AS c8943
FROM customers
WHERE customers.region_id <= 40
GROUP BY customers.region_id, customers.id;"
91,610,610,181,5,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT departments.id
FROM departments;"
92,12280,12280,358,3,implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 2,"SELECT markets.region, markets.id
FROM markets CROSS JOIN regions
GROUP BY markets.region, markets.id
ORDER BY markets.region ASC;"
93,675822,1550366,1009,3,transformation 0 JoinCommutativity: 1; transformation 10 ProjectionPushdownThroughJoin: 3; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 2; implementation 6 ImplementHashJoin: 1,"SELECT t0.id, t1.id AS c1156, t0.customer_id
FROM orders AS t0 JOIN books AS t1 ON t0.id = t1.id;"
94,4252,22032,305,0,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 3; transformation 6 InToOrChain: 1; transformation 8 CrossJoinToJoin: 1; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 2,"SELECT t1.price
FROM departments AS t0 CROSS JOIN books AS t1 RIGHT JOIN users AS t2 ON t1.id = t2.id
WHERE (t2.id BETWEEN 45 AND 86 AND t1.id IN (2));"
95,2646,7432,516,0,transformation 0 JoinCommutativity: 1; transformation 2 FilterSplit: 3; transformation 5 FilterPushdownThroughJoin: 4; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 2; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT t2.id
FROM departments AS t0 RIGHT JOIN employees AS t1 ON t0.id = t1.id CROSS JOIN books AS t2
WHERE ((t1.department_id IN (1, 5, 12, 34) AND t1.id IN (69)) AND t1.department_id <= 1);"
96,684299,6455219,1022,16,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT t1.id AS c5555, t0.id
FROM orders AS t0 JOIN users AS t1 ON t0.id = t1.id
GROUP BY t1.id, t0.id;"
97,1274,1274,178,0,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 2,"SELECT regions.id, SUM(regions.id), COUNT(regions.id) AS c9550
FROM regions
WHERE ((regions.id < 2 AND regions.id = 32) AND (regions.id <= 2 AND regions.id != 3))
GROUP BY regions.id
ORDER BY regions.id ASC;"
98,1232,2482,250,0,transformation 0 JoinCommutativity: 1; transformation 2 FilterSplit: 5; transformation 5 FilterPushdownThroughJoin: 2; transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 2; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1,"SELECT books.id
FROM books CROSS JOIN departments
WHERE ((books.price IS NULL AND departments.id = 1) AND (books.price IS NULL OR books.price NOT IN (55, 77)));"
99,58943,401263,262,0,transformation 5 FilterPushdownThroughJoin: 2; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT customers.id, SUM(customers.id), COUNT(customers.id) AS c8662
FROM regions JOIN customers ON regions.id = customers.id
WHERE customers.region_id = 63
GROUP BY customers.id;"
100,3009,3009,138,17,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1; enforcer 0 SortEnforcer: 1,"SELECT users.age, users.id AS c7470
FROM users
ORDER BY users.id ASC;"
101,4056,6624,461,50,transformation 0 JoinCommutativity: 2; transformation 6 InToOrChain: 1; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT markets.id, departments.id AS c1258, markets.region
FROM employees LEFT JOIN markets ON employees.id = markets.id CROSS JOIN departments
WHERE ((markets.id IN (3) AND markets.region = 'EUROPE') OR employees.id < 69);"
102,610000,610000,1304,5000,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT t0.customer_id, t0.id AS c8685
FROM orders AS t0;"
103,686541,6467000,1121,9,implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 4,"SELECT users.age AS c405
FROM users JOIN orders ON users.id = orders.id RIGHT JOIN regions ON orders.id = regions.id
GROUP BY users.age
ORDER BY users.age DESC;"
104,1222,1222,196,0,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT employees.id
FROM employees
WHERE employees.id = 14;"
105,1306776,1551752,1464,3,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 4,"SELECT markets.id, orders.customer_id, COUNT(*)
FROM orders RIGHT JOIN markets ON orders.id = markets.id LEFT JOIN books ON markets.id = books.id
GROUP BY markets.id, orders.customer_id;"
106,10392,18447,326,25,transformation 0 JoinCommutativity: 1; transformation 6 InToOrChain: 1; transformation 7 FilterToJoinPredicate: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 6 ImplementHashJoin: 1; enforcer 0 SortEnforcer: 1,"SELECT books.price AS c2329, markets.note
FROM users CROSS JOIN books JOIN markets ON books.id = markets.id
WHERE (markets.region = 'EUROPE' OR (users.age NOT IN (5, 22, 64, 123) AND users.age < 22))
ORDER BY markets.note ASC;"
107,1274,1274,159,1,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 2,"SELECT regions.id
FROM regions
WHERE regions.id IN (5)
GROUP BY regions.id
ORDER BY regions.id ASC;"
108,102500,102500,239,51,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; enforcer 0 SortEnforcer: 1,"SELECT customers.id AS c9166, customers.region_id
FROM customers
WHERE customers.id < 52
ORDER BY customers.region_id ASC, customers.id DESC;"
109,5405,16132,208,22,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT employees.id, users.age, employees.department_id
FROM employees FULL JOIN users ON employees.id = users.id;"
110,3233,16153,330,0,transformation 5 FilterPushdownThroughJoin: 3; transformation 6 InToOrChain: 1; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 2; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT employees.department_id, employees.id, COUNT(users.id) AS c6401, COUNT(*)
FROM employees FULL JOIN users ON employees.id = users.id
WHERE ((employees.department_id = 31 AND employees.department_id NOT IN (6, 59, 72)) AND (employees.department_id NOT IN (1, 5, 6, 32) AND users.id = 5))
GROUP BY employees.department_id, employees.id;"
111,541846,541846,2403,28,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT orders.customer_id, orders.id
FROM orders
WHERE ((orders.id IN (97, 99, 184, 198) OR orders.id BETWEEN 31 AND 58) AND (orders.customer_id IS NOT NULL AND orders.id BETWEEN 3 AND 65));"
112,1305844,1550574,3017,2,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 4,"SELECT markets.id, markets.note, COUNT(orders.id), SUM(orders.customer_id)
FROM markets RIGHT JOIN orders ON markets.id = orders.id
WHERE ((orders.id < 188 AND orders.customer_id >= 193) OR (orders.customer_id BETWEEN 239 AND 436 OR markets.id = 1))
GROUP BY markets.id, markets.note
ORDER BY markets.id DESC, markets.note DESC;"
113,422,422,175,1,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT t0.region, t0.note AS c6295
FROM markets AS t0
WHERE t0.id < 2;"
114,61000,61000,226,500,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT t0.id
FROM customers AS t0;"
115,3922,10020,204,10,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT t1.id AS c2831, t0.id, t0.department_id
FROM employees AS t0 RIGHT JOIN regions AS t1 ON t0.id = t1.id;"
116,676779,1551363,1099,1,transformation 0 JoinCommutativity: 1; transformation 9 FilterLiftThroughJoin: 2; transformation 10 ProjectionPushdownThroughJoin: 3; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 2; implementation 6 ImplementHashJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 3,"SELECT t2.customer_id
FROM markets AS t0 LEFT JOIN books AS t1 ON t0.id = t1.id JOIN orders AS t2 ON t1.id = t2.id
WHERE t2.customer_id > 244
ORDER BY t2.customer_id DESC;"
117,744,744,354,1,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT t0.id AS c6139
FROM departments AS t0
WHERE t0.id >= 5;"
118,3722,9763,328,0,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 5; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 2; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 3,"SELECT books.id AS c118
FROM departments RIGHT JOIN users ON departments.id = users.id FULL JOIN books ON departments.id = books.id
WHERE ((users.id > 3 AND books.price = 77) AND users.age > 443)
GROUP BY books.id;"
119,676308,2251048,1306,5,transformation 5 FilterPushdownThroughJoin: 2; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT orders.id, COUNT(departments.id)
FROM departments JOIN orders ON departments.id = orders.id
WHERE departments.id < 36
GROUP BY orders.id;"
120,1377824,4786342,1550,11,implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT orders.customer_id, employees.department_id
FROM employees JOIN customers ON employees.id = customers.id LEFT JOIN orders ON employees.id = orders.id;"
121,1222,1222,130,0,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT employees.id
FROM employees
WHERE ((employees.id > 68 OR employees.department_id = 5) AND (employees.id BETWEEN 2 AND 4 AND employees.department_id IN (3, 5, 5)));"
